nDept	gn2013	gd2013	pn2013
01	887	509	301
02	690	380	651
03	446	243	374
04	431	223	133
05	329	169	202
06	852	447	2795
07	550	308	176
08	214	271	383
09	340	190	126
10	482	229	440
11	588	309	580
12	491	306	215
13	1113	590	7314
14	760	412	782
15	348	194	91
16	426	251	280
17	711	409	733
18	477	241	444
19	420	228	236
2A	348	182	471
2B	436	214	386
21	590	325	929
22	701	430	482
23	298	175	70
24	596	365	804
25	513	333	769
26	719	368	622
27	847	466	366
28	555	305	329
29	886	531	700
30	856	503	1279
31	1151	692	2792
32	342	205	82
33	1377	824	3175
34	1115	659	1812
35	878	555	2076
36	370	181	177
37	685	339	898
38	1536	891	1124
39	507	259	148
40	557	311	244
41	499	236	249
42	594	342	1443
43	372	225	98
44	1147	674	1672
45	728	365	934
46	365	189	98
47	492	276	431
48	269	144	66
49	711	405	663
50	613	349	443
51	571	330	1108
52	399	195	171
53	397	224	156
54	605	333	1406
55	398	211	157
56	715	448	462
57	1055	607	2517
58	401	230	116
59	1378	809	6854
60	1145	679	539
61	447	254	210
62	1059	595	3483
63	750	424	1204
64	700	389	1341
65	383	200	457
66	663	382	972
67	950	619	1809
68	857	480	986
69	1064	642	5858
70	399	249	134
71	730	415	607
72	645	379	560
73	632	315	487
74	968	517	544
75	189	89	23817
76	980	515	2859
77	920	463	3773
78	679	332	4153
79	441	257	198
80	726	364	529
81	462	297	383
82	377	194	356
83	921	500	1767
84	706	405	766
85	669	412	224
86	517	280	568
87	413	211	801
88	529	313	243
89	587	321	573
90	178	82	168
91	709	434	3328
92			6658
93			4393
94			3887
95	649	376	4312
