geo\time	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 
AT	: 	4 	8 	8 	7 	15 	20 	14 	9 	12 	6 	10 	7 	10 
BE	19 	22 	13 	5 	13 	8 	17 	13 	8 	11 	10 	17 	13 	11 
BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
CY	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	1 	2 	3 	1 
CZ	: 	: 	: 	: 	: 	: 	: 	: 	0 	4 	6 	6 	4 	2 
DE	20 	5 	9 	12 	13 	16 	18 	14 	13 	11 	15 	10 	5 	7 
DK	: 	1 	1 	0 	2 	2 	3 	2 	3 	0 	0 	0 	0 	1 
EE	: 	: 	: 	: 	: 	: 	: 	: 	1 	2 	0 	2 	5 	7 
ES	7 	6 	7 	9 	15 	11 	28 	11 	6 	19 	21 	21 	11 	8 
EU15	124 	118 	162 	157 	157 	168 	214 	193 	169 	180 	190 	176 	112 	100 
EU25	: 	: 	: 	: 	: 	: 	: 	: 	170 	193 	212 	207 	141 	128 
EU27	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	212 	207 	142 	128 
FI	: 	1 	: 	4 	3 	1 	6 	8 	10 	7 	2 	5 	1 	2 
FR	15 	22 	35 	25 	20 	22 	22 	23 	11 	9 	14 	5 	8 	9 
GR	10 	17 	12 	18 	15 	17 	16 	27 	18 	25 	26 	19 	12 	14 
HU	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	2 	3 	1 	3 
IE	6 	10 	13 	14 	12 	8 	16 	3 	9 	7 	10 	10 	6 	4 
IT	20 	12 	29 	22 	21 	24 	20 	27 	36 	25 	23 	17 	16 	6 
LT	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	1 	1 	0 	0 
LU	8 	8 	14 	11 	10 	12 	16 	14 	19 	28 	20 	15 	5 	8 
LV	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
MT	: 	: 	: 	: 	: 	: 	: 	: 	0 	2 	3 	5 	3 	0 
NL	3 	3 	1 	12 	5 	5 	9 	13 	8 	5 	8 	4 	5 	5 
PL	: 	: 	: 	: 	: 	: 	: 	: 	0 	3 	7 	10 	11 	9 
PT	15 	5 	13 	10 	7 	10 	10 	7 	7 	13 	23 	14 	17 	10 
RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	1 	0 
SE	: 	1 	1 	3 	3 	2 	5 	5 	5 	4 	10 	6 	1 	4 
SI	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	1 	1 	0 	3 
SK	: 	: 	: 	: 	: 	: 	: 	: 	0 	2 	1 	1 	2 	3 
UK	1 	1 	6 	4 	11 	15 	8 	12 	7 	4 	2 	13 	5 	1 
